Scaler,family_min_samples_percentage,original_number_of_clusters,eps_value,min_samples,number_of_clusters,number_of_noise_samples,adjusted_rand_index,adjusted_mutual_info_score,homogeneity_score,completeness_score,v_measure_score,fowlkes_mallows_score,silhouette_coefficient,calinski_harabasz_score,davies_bouldin_score
Standard,5,4,0.1,5,9,72,0.0012946494377940002,0.008962599716725,0.33071279720878305,0.9999999999999991,0.497046091241423,0.028277808486895,0.652809522538641,10.808222558523699,1.7044935031867752
Standard,5,4,0.1,10,6,89,0.001085314106769,0.008123099381390001,0.294884511429832,0.9999999999999991,0.45546071302407704,0.026360160288337,0.5585294202641651,12.528464721749081,1.760859192329311
