dbscan_eps_value,dbscan_min_samples,dbscan_number_of_clusters,dbscan_number_of_noise_samples,dbscan_scores.adjusted_rand_index,dbscan_scores.adjusted_mutual_info_score,dbscan_scores.homogeneity_score,dbscan_scores.completeness_score,dbscan_scores.v_measure_score,dbscan_scores.fowlkes_mallows_score,dbscan_scores.silhouette_coefficient,dbscan_scores.calinski_harabasz_score,dbscan_scores.davies_bouldin_score,config_params_original_number_of_clusters,config_params_Scaler,config_params_family_min_samples_percentage
0.1,5,9,72,0.0012946494377947854,0.008962599716725805,0.3307127972087838,0.9999999999999999,0.4970460912414239,0.028277808486895997,0.6528095225386412,10.808222558523699,1.7044935031867752,4,Standard,5
0.1,10,6,89,0.0010853141067694784,0.008123099381390967,0.29488451142983285,0.9999999999999996,0.4554607130240773,0.026360160288337424,0.5585294202641657,12.528464721749081,1.7608591923293118,4,Standard,5
0.30000000000000004,5,6,68,0.0008103779054868241,0.0071869167478905245,0.2672577997635559,0.9999999999999997,0.4217891573654873,0.02360678866978852,0.6367621736606724,17.12435294384142,1.6302185796635722,4,Standard,5
0.30000000000000004,10,5,73,0.000781023064125798,0.006988970525679733,0.25672668923648667,0.9999999999999994,0.4085640759208491,0.02329363856067898,0.6136237167150105,18.087760753772137,1.6881902004018932,4,Standard,5
0.1,5,6,62,0.0008297745136549758,0.007275884656067291,0.27021408898590105,1.0000000000000002,0.4254622765232143,0.023811452252714072,0.6951201928161869,51.72307578818763,1.2553631319652763,4,MinMax,5
0.1,10,5,68,0.0007991421357030723,0.007073380062819046,0.25955227560665123,1.0,0.4121341855091173,0.023487420402682667,0.6654105210543099,52.01028815721458,1.313236562270927,4,MinMax,5
0.30000000000000004,5,6,59,0.0008415525484296688,0.0073381056681791545,0.27277456254884136,0.9999999999999997,0.4286298148551722,0.023934876316376055,0.7069254692656874,56.32268581453878,1.247199811274013,4,MinMax,5
0.30000000000000004,10,5,65,0.0008093148391144522,0.007121272233416419,0.2612151246820817,1.0,0.4142277071850482,0.023595520512263577,0.6762668465776476,55.338438912833226,1.3064374698396741,4,MinMax,5
0.1,5,9,86,0.001160113684138923,0.00858224604615847,0.31976843931776305,0.9999999999999999,0.48458264312346055,0.027060934444890328,0.48593384593979766,19.080218146453024,1.1478199253585697,4,Robust,5
0.1,10,6,102,0.000966119647945641,0.0077440809410830305,0.28405104009128246,0.9999999999999999,0.4424295159966373,0.025203347226782333,0.5287274299155608,19.547595503782464,1.2091455963567228,4,Robust,5
0.30000000000000004,5,9,86,0.001160113684138923,0.00858224604615847,0.31976843931776305,0.9999999999999999,0.48458264312346055,0.027060934444890328,0.48593384593979766,19.080218146453024,1.1478199253585697,4,Robust,5
0.30000000000000004,10,6,102,0.000966119647945641,0.0077440809410830305,0.28405104009128246,0.9999999999999999,0.4424295159966373,0.025203347226782333,0.5287274299155608,19.547595503782464,1.2091455963567228,4,Robust,5
0.1,5,8,29,0.0,-2.5585858131784075e-13,0.3298123118412512,1.0000000000000002,0.49602836265607253,0.0,0.8094572156842197,9.539479239523661,2.262814107626576,2,Standard,10
0.1,10,6,40,0.0,-1.8162777505018497e-13,0.3065087996428443,1.0000000000000002,0.46920280939038994,0.0,0.7299950519341302,11.467607516063644,2.1931570414997035,2,Standard,10
0.30000000000000004,5,8,29,0.0,-2.5585858131784075e-13,0.3298123118412512,1.0000000000000002,0.49602836265607253,0.0,0.8094572156842197,9.539479239523661,2.262814107626576,2,Standard,10
0.30000000000000004,10,6,40,0.0,-1.8162777505018497e-13,0.3065087996428443,1.0000000000000002,0.46920280939038994,0.0,0.7299950519341302,11.467607516063644,2.1931570414997035,2,Standard,10
0.1,5,7,23,0.0,-3.116199725702968e-13,0.31508858230996584,1.0000000000000004,0.47918989876181534,0.0,0.8310218537589198,98.29913782333351,1.4831598522868004,2,MinMax,10
0.1,10,5,36,0.0,-2.670787018582667e-13,0.29197803771501873,1.0000000000000004,0.4519860697189692,0.0,0.7471466629879462,109.50633718433178,1.3774697570485674,2,MinMax,10
0.30000000000000004,5,4,18,0.0,-2.1152022243764328e-13,0.22869698036949504,1.0000000000000002,0.37225936748167326,0.0,0.8219783685945993,188.11905870750095,1.4392625699147708,2,MinMax,10
0.30000000000000004,10,4,18,0.0,-2.1152022243764328e-13,0.22869698036949504,1.0000000000000002,0.37225936748167326,0.0,0.8219783685945993,188.11905870750095,1.4392625699147708,2,MinMax,10
0.1,5,8,30,0.0,-2.2020057464821127e-13,0.32922655123848715,1.0,0.4953655957770859,0.0,0.7755117807274138,1.7671373192666358,1.9371003989201823,2,Robust,10
0.1,10,6,41,0.0,-1.5672730033818602e-13,0.30568560205896594,1.0000000000000002,0.4682376853615039,0.0,0.6898029506758512,1.6576845986326367,1.9693161214247736,2,Robust,10
0.30000000000000004,5,8,30,0.0,-2.2020057464821127e-13,0.32922655123848715,1.0,0.4953655957770859,0.0,0.7755117807274138,1.7671373192666358,1.9371003989201823,2,Robust,10
0.30000000000000004,10,6,41,0.0,-1.5672730033818602e-13,0.30568560205896594,1.0000000000000002,0.4682376853615039,0.0,0.6898029506758512,1.6576845986326367,1.9693161214247736,2,Robust,10
